amount_sum counts time
36662017077982000 8 1541462400
57481776863656808 18 1541548800
38198929506597000 18 1541635200
47215194087887368 22 1541721600
62257707028232576 20 1541808000
68264662861266400 23 1541894400
37256596295626640 22 1541980800
35925171136252224 12 1542067200
36118990816793816 15 1542153600
36668075526499048 14 1542240000
63258829812294744 37 1542326400
49214238548537504 31 1542412800
59391746609737968 30 1542499200
53541129318744888 21 1542585600
50756131949321360 24 1542672000
40039498855669680 18 1542758400
59695631733126952 49 1542844800
54724446521239152 25 1542931200
35087901950842384 19 1543017600
43203803191523800 21 1543104000
47960432716189472 20 1543190400
32956529543421552 36 1543276800
27403742051089544 83 1543363200
32028524480218272 33 1543449600
35353708934320624 30 1543536000
34189820054478684 27 1543622400
56056564802776256 43 1543708800
34013855110772364 21 1543795200
26887339141098288 23 1543881600
31549712993274624 22 1543968000
47431372788990496 32 1544054400
53503706655013048 27 1544140800
49784859565290352 30 1544227200
64847204373563568 52 1544313600
46387926130380872 50 1544400000
39524372463493352 35 1544486400
22346332438110320 15 1544572800
19603490480236192 13 1544659200
22202878510234432 14 1544745600
41571362398563256 16 1544832000
40919601340693248 18 1544918400
41514417567947088 16 1545004800
32827802228972164 13 1545091200
48033419307270528 15 1545177600
51264043104218192 21 1545264000
43720597092398296 21 1545350400
55489124053003192 30 1545436800
43354729955473720 27 1545523200
33425669412533692 31 1545609600
51073709335301336 25 1545696000
54144632452493880 39 1545782400
51447764321113512 58 1545868800
60823232691754336 41 1545955200
39459972740592168 40 1546041600
43783686465739504 31 1546128000
40410597931661584 43 1546214400
31902828322625748 24 1546300800
39548839691063440 27 1546387200
45476836692930552 27 1546473600
32740625803281520 26 1546560000
41764964750595016 28 1546646400
46833619520022960 41 1546732800
41539767124545848 33 1546819200
38661021851563696 23 1546905600
48074955234242088 32 1546992000
48104947777613432 41 1547078400
37887246072205816 23 1547164800
38115687677460560 32 1547251200
50462730769190808 97 1547337600
33568325563652304 25 1547424000
50140750899449016 33 1547510400
50077315546028224 45 1547596800
46959725792083456 38 1547683200
46600145789334896 30 1547769600
49497717960140160 41 1547856000
46533443140155360 50 1547942400
36695467717339784 27 1548028800
38885780229016360 30 1548115200
46538753742437024 31 1548201600
44920035198694592 23 1548288000
55218868420687608 41 1548374400
52291191362130544 66 1548460800
31304111250119056 60 1548547200
25902376027163564 43 1548633600
30927049076163212 73 1548720000
37513495006789536 28 1548806400
34410970207238368 43 1548892800
34002339411830952 25 1548979200
43167011980188208 44 1549065600
41827212348829168 105 1549152000
52271902483437344 30 1549238400
36671200330094600 25 1549324800
24710993004298400 17 1549411200
24494041252560320 11 1549497600
26921976694706304 12 1549584000
26787693011193044 15 1549670400
33576135341631544 20 1549756800
33458993815824648 22 1549843200
35911472360838648 29 1549929600
37996852925424464 22 1550016000
26619655617824288 19 1550102400
32959268088891000 16 1550188800
25624502148470072 19 1550275200
43985562775959328 24 1550361600
24178762499428608 17 1550448000
33442594992099388 30 1550534400
15365811658376804 15 1550620800
26558684033024308 28 1550707200
44244663173982392 40 1550793600
34683144913465608 26 1550880000
32379643494378992 21 1550966400
24380955434305792 41 1551052800
49702414978955792 94 1551139200
43799451856668256 56 1551225600
40068079756381408 28 1551312000
39843267647764600 37 1551398400
38586664830824344 22 1551484800
31858733881391112 12 1551571200
39686959976994800 28 1551657600
24755572597455512 9 1551744000
22904653412169456 7 1551830400
48264602775781584 26 1551916800
32500186027692616 26 1552003200
26031235844929404 29 1552089600
31188026641602472 19 1552176000
31245039428475112 35 1552262400
33877152126692108 33 1552348800
31156355500469360 20 1552435200
24782164483050816 28 1552521600
25219265769827428 27 1552608000
23792444430653376 18 1552694400
57722154954861096 46 1552780800
26486674916049848 15 1552867200
39188166803492464 26 1552953600
38850815945375504 18 1553040000
50945917858888448 36 1553126400
30097812231086272 26 1553212800
26705075208260040 28 1553299200
37134417161770080 41 1553385600
41885659772748376 78 1553472000
30677462402881704 24 1553558400
43167509364561256 29 1553644800
39152134583007216 29 1553731200
28379952783471248 34 1553817600
28715464746365684 49 1553904000
21026620220824068 30 1553990400
28604990206040672 30 1554076800
34804127812252604 31 1554163200
28773121017546752 32 1554249600
38674128148249696 42 1554336000
37853586132904888 75 1554422400
115167599759222512 78 1554508800
126575980503647712 59 1554595200
108917994127263728 108 1554681600
93763360906226880 53 1554768000
80418531417323712 54 1554854400
183779055134332000 82 1554940800
91765979493466944 61 1555027200
85381233436492384 46 1555113600
140730758246996256 65 1555200000
94570554973119776 34 1555286400
42807250297286528 20 1555372800
68290538858753296 21 1555459200
98768821406142720 34 1555545600
41814413697121960 32 1555632000
23582646250130716 29 1555718400
23409237937352048 33 1555804800
28541500431627076 24 1555891200
17886559453557118 17 1555977600
18329728630366256 42 1556064000
17887434476746870 45 1556150400
40929412028184680 33 1556236800
42898268573963840 95 1556323200
74830395023765760 112 1556409600
49469894427005584 68 1556496000
40738775313936008 84 1556582400
30341002603846512 83 1556668800
48833875451457976 114 1556755200
42597086496017360 126 1556841600
33239290113742128 46 1556928000
72632340936133088 75 1557014400
30430339278844800 43 1557100800
34614633796940004 63 1557187200
65766803991281288 48 1557273600
52415809832104032 48 1557360000
47508468514936752 74 1557446400
16635915035704092 62 1557532800
26825662467353600 52 1557619200
46940825708476896 42 1557705600
40820182391591320 46 1557792000
71143837154283520 52 1557878400
39544129700328808 47 1557964800
