amount_sum counts time
26107094378051 1 1532995200
530630374925993 7 1533081600
9747779131979944 14 1533168000
3402193100009458 9 1533254400
56611741500000 2 1533340800
59163279942640 3 1533427200
42828879083115200 15 1533513600
4101898994550742 4 1533600000
1271924648728983 6 1533686400
4181486548216984 11 1533772800
1368641996277503 9 1533859200
4137168421318820 17 1533945600
168426769010138 5 1534032000
157675643451840 6 1534118400
4099636603362700 5 1534204800
177246787800000 4 1534291200
2958800187998387 7 1534377600
5825336793215541 18 1534464000
2958277427038436 13 1534550400
2721918133769005 8 1534636800
762185578419624 18 1534723200
5509486514296791 22 1534809600
887895698349473 4 1534896000
181652840969399 7 1534982400
2436878559200000 2 1535068800
331945750442308 6 1535241600
746788860175730 19 1535328000
4454966084897966 38 1535414400
622418884919661 16 1535500800
322850485950495 8 1535587200
39310136313043904 8 1535673600
296494502356452 8 1535760000
41478306778409968 10 1535846400
288737668660412 6 1535932800
359621708734858 12 1536019200
152133810002485 7 1536105600
57828963726320 3 1536192000
2474830117658370 11 1536278400
39176723863195024 9 1536364800
940382961728152 7 1536451200
39970033191566584 14 1536537600
374798963676770 8 1536710400
163170976681436 4 1536796800
192447741417971 10 1536883200
154953086380959 6 1536969600
90324849943436 2 1537056000
41462009254987072 11 1537142400
2194748521476300 4 1537228800
159990167304547 4 1537315200
2253213694164150 5 1537401600
38296519288755776 2 1537488000
132678153876300 3 1537574400
34496133558832656 3 1537660800
37623294687880456 9 1537747200
209540621680000 5 1537833600
231353543190440 6 1537920000
98086483095046 2 1538006400
154508947132335 10 1538092800
300064198729322 9 1538179200
89971759721000 2 1538265600
9665734165406156 7 1538352000
10136839251469624 19 1538438400
44547197666952720 30 1538524800
341911753564987 12 1538611200
279447635947600 10 1538697600
2263216001751236 10 1538784000
95643130638115 4 1538870400
332969938927972 10 1538956800
489273325283486 12 1539043200
775348078591342 8 1539129600
46017751202000 2 1539216000
226269129042153312 106 1539302400
79243689123356304 53 1539388800
55976983023850432 38 1539475200
50372936503959552 39 1539561600
14307945797832216 14 1539648000
20758479332838584 15 1539734400
25283556045170556 26 1539820800
29333441658289292 20 1539907200
69252183040312056 27 1539993600
33478725408716880 17 1540080000
28050549081001624 14 1540166400
56645595001645016 34 1540252800
74160361076843536 50 1540339200
65782381953775096 34 1540425600
54890999229850856 88 1540512000
77924939014539440 33 1540598400
65586754400876648 34 1540684800
52032373264877488 25 1540771200
64910863893809336 31 1540857600
47303463217879528 20 1540944000
62956374389466752 21 1541030400
66987258832287704 25 1541116800
39635737421891400 43 1541203200
38970160722767368 18 1541289600
36285592826612928 17 1541376000
